R,G,B,Class
205,188,167,o
205,188,168,o
205,188,168,o
205,188,168,o
204,188,168,o
204,188,167,o
204,188,168,o
204,188,168,o
204,188,168,o
203,188,167,o
203,188,168,o
203,188,168,o
202,188,168,o
202,188,169,o
202,188,169,o
202,188,169,o
202,188,170,o
203,188,169,o
203,188,169,o
204,188,169,o
204,188,169,o
204,188,168,o
204,188,167,o
205,188,167,o
205,184,162,o
199,164,143,o
176,124,107,o
142,78,70,o
134,67,62,o
133,64,60,o
131,61,59,o
130,60,59,o
130,60,59,o
129,60,59,o
129,59,59,o
129,59,59,o
128,58,59,o
128,58,59,o
128,58,59,o
128,58,60,o
128,58,60,o
128,58,60,o
128,57,60,o
128,57,60,o
128,57,60,o
128,57,59,o
129,57,59,o
129,56,59,o
129,56,59,o
129,56,60,o
129,57,61,o
129,57,61,o
129,57,62,o
129,58,63,o
207,196,176,o
208,195,174,o
208,194,172,o
208,193,171,o
209,192,170,o
209,191,168,o
210,190,165,o
211,189,164,o
211,187,162,o
212,184,158,o
211,175,146,o
206,149,121,o
200,123,97,o
200,117,92,o
200,117,91,o
200,118,92,o
201,119,93,o
202,121,95,o
203,122,96,o
204,123,97,o
205,123,98,o
206,124,99,o
206,125,99,o
206,126,99,o
206,126,100,o
207,126,100,o
207,126,100,o
207,126,100,o
206,126,99,o
206,126,99,o
205,125,98,o
204,125,97,o
204,124,97,o
203,123,96,o
202,122,95,o
201,121,95,o
201,120,95,o
200,120,95,o
200,120,95,o
199,120,96,o
199,120,97,o
197,122,101,o
197,134,115,o
205,165,146,o
210,185,164,o
210,190,169,o
209,190,170,o
207,191,170,o
207,192,172,o
207,193,173,o
206,193,174,o
206,193,174,o
205,193,175,o
205,193,175,o
204,192,174,o
205,193,175,o
206,193,176,o
206,192,175,o
205,190,173,o
204,188,171,o
202,187,169,o
202,186,167,o
203,187,168,o
203,187,168,o
203,186,167,o
202,186,166,o
202,186,166,o
203,186,167,o
204,187,168,o
204,187,168,o
204,187,168,o
205,187,168,o
206,187,168,o
206,187,167,o
207,187,167,o
207,186,166,o
207,186,165,o
208,186,165,o
209,184,163,o
208,179,156,o
206,163,137,o
201,135,107,o
201,122,97,o
202,119,94,o
202,118,94,o
203,118,93,o
203,118,93,o
204,117,92,o
204,116,91,o
204,116,91,o
205,116,91,o
205,115,91,o
206,115,91,o
206,115,90,o
205,115,90,o
205,114,91,o
204,114,91,o
204,114,91,o
203,114,92,o
202,115,93,o
201,115,94,o
200,116,95,o
198,117,96,o
196,120,99,o
193,126,105,o
193,142,120,o
199,169,146,o
203,180,159,o
204,183,163,o
204,184,164,o
204,184,164,o
205,185,165,o
205,185,166,o
205,186,166,o
205,186,167,o
205,187,167,o
205,187,167,o
205,187,168,o
205,188,168,o
205,187,167,o
205,188,167,o
205,188,168,o
205,188,168,o
205,188,168,o
204,188,167,o
204,188,167,o
204,188,168,o
204,188,168,o
203,188,167,o
203,188,167,o
203,188,167,o
203,188,168,o
202,188,168,o
202,188,169,o
202,188,169,o
202,188,169,o
202,188,169,o
203,188,170,o
203,188,169,o
203,188,169,o
